,_id,Id,Marka,Seri,Model,Yıl,Km,Renk,Vites,Yakıt,Sehir,Tarih,Fiyat
89802,5e179871bc3087fa6cb10a67,777713969,Volkswagen,Golf,1.4 TSI Comfortline,2011,210.000,Siyah,Manuel,Benzin,Konya,09 Ocak 2020,53.000 TL
89803,5e179871bc3087fa6cb10a68,777764612,Volkswagen,Polo,1.4 Comfortline,2011,77.000,Siyah,Manuel,Benzin,Ordu,09 Ocak 2020,75.000 TL
89804,5e179871bc3087fa6cb10a69,777736514,Volkswagen,Scirocco,1.4 TSI Sportline,2012,159.000,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,84.900 TL
89805,5e179871bc3087fa6cb10a6a,765643382,Volkswagen,Golf,1.4 TSI Highline,2015,102.000,Beyaz,Manuel,Benzin,Hatay,09 Ocak 2020,121.000 TL
89806,5e179871bc3087fa6cb10a6b,777759286,Volkswagen,Scirocco,1.4 TSI Sportline,2012,173.000,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,74.750 TL
89807,5e179871bc3087fa6cb10a6c,777754659,Volkswagen,Jetta,1.2 TSI BlueMotion Trendline,2015,59.600,Beyaz,Manuel,Benzin,Elazığ,09 Ocak 2020,98.750 TL
89808,5e179871bc3087fa6cb10a6d,752155093,Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2014,53.000,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,93.000 TL
89809,5e179871bc3087fa6cb10a6e,777671073,Volkswagen,Passat,1.4 TSI BlueMotion Trendline,2011,100.000,Gümüş Gri,Manuel,Benzin,İstanbul,09 Ocak 2020,95.000 TL
89810,5e179871bc3087fa6cb10a6f,777746253,Volkswagen,Passat,1.6 Trendline,2010,125.000,Siyah,Manuel,Benzin,Osmaniye,09 Ocak 2020,90.750 TL
89811,5e179871bc3087fa6cb10a70,777737585,Volkswagen,Golf,1.2 TSI Midline Plus,2014,148.000,Beyaz,Manuel,Benzin,Van,09 Ocak 2020,94.500 TL
89812,5e179871bc3087fa6cb10a71,777734986,Volkswagen,Polo,1.4 Comfortline,2011,120.000,Beyaz,Manuel,Benzin,Isparta,09 Ocak 2020,71.000 TL
89813,5e179871bc3087fa6cb10a72,777715283,Volkswagen,Polo,1.0 Trendline,2019,55,Kırmızı,Manuel,Benzin,İstanbul,09 Ocak 2020,114.500 TL
89814,5e179871bc3087fa6cb10a73,777727257,Volkswagen,Polo,1.2 TSI Comfortline,2017,19.900,Beyaz,Manuel,Benzin,Aydın,09 Ocak 2020,98.000 TL
89815,5e179871bc3087fa6cb10a74,777721823,Volkswagen,Polo,1.2 TSI Comfortline,2016,47.254,Beyaz,Manuel,Benzin,Antalya,09 Ocak 2020,98.250 TL
89816,5e179871bc3087fa6cb10a75,777683919,Volkswagen,Scirocco,1.4 TSI White Edition,2012,135.000,Beyaz,Manuel,Benzin,Siirt,09 Ocak 2020,70.000 TL
89817,5e179871bc3087fa6cb10a76,777420744,Volkswagen,Golf,1.6 Highline,2004,140.000,Lacivert,Manuel,Benzin,İstanbul,09 Ocak 2020,41.750 TL
89818,5e179871bc3087fa6cb10a77,777714629,Volkswagen,Scirocco,1.4 TSI Sportline,2012,136.000,Beyaz,Manuel,Benzin,Konya,09 Ocak 2020,62.000 TL
89819,5e179871bc3087fa6cb10a78,777710766,Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2015,80.000,Gri,Manuel,Benzin,Kütahya,09 Ocak 2020,151.500 TL
89820,5e179871bc3087fa6cb10a79,765515963,Volkswagen,Golf,1.0 TSI Comfortline,2017,45.000,Beyaz,Manuel,Benzin,Tokat,09 Ocak 2020,125.500 TL
89821,5e179871bc3087fa6cb10a7a,777679779,Volkswagen,Golf,1.2 TSI Comfortline,2015,31.456,Siyah,Manuel,Benzin,Antalya,09 Ocak 2020,117.000 TL
89822,5e179871bc3087fa6cb10a7b,777707728,Volkswagen,Passat,1.6 FSi Comfortline,2006,294.067,Siyah,Manuel,Benzin,Tekirdağ,09 Ocak 2020,53.900 TL
89823,5e179871bc3087fa6cb10a7c,777703209,Volkswagen,Polo,1.2 TSI Comfortline,2015,140.000,Gri,Manuel,Benzin,Şanlıurfa,09 Ocak 2020,60.900 TL
89824,5e179871bc3087fa6cb10a7d,766614690,Volkswagen,Passat,1.6 FSi Comfortline,2005,135.000,Mavi,Manuel,Benzin,İstanbul,09 Ocak 2020,56.000 TL
89825,5e179871bc3087fa6cb10a7e,777670766,Volkswagen,Scirocco,1.4 TSI Sportline,2014,88.500,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,88.000 TL
89826,5e179871bc3087fa6cb10a7f,777691378,Volkswagen,Polo,1.2 TSI Comfortline,2014,78.000,Beyaz,Manuel,Benzin,Amasya,09 Ocak 2020,81.500 TL
89827,5e179871bc3087fa6cb10a80,777696159,Volkswagen,Polo,1.6,1999,291.000,Yeşil,Manuel,Benzin,Gaziantep,09 Ocak 2020,22.750 TL
89828,5e179871bc3087fa6cb10a81,755902333,Volkswagen,Golf,1.4 TSI Highline,2009,170.000,Beyaz,Manuel,Benzin,Van,09 Ocak 2020,68.500 TL
89829,5e179871bc3087fa6cb10a82,777672893,Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2015,130.000,Mavi,Manuel,Benzin,Erzurum,09 Ocak 2020,137.000 TL
89830,5e179871bc3087fa6cb10a83,777664770,Volkswagen,Scirocco,1.4 TSI Sportline,2012,70.000,Beyaz,Manuel,Benzin,İzmir,09 Ocak 2020,76.500 TL
89831,5e179871bc3087fa6cb10a84,777679209,Volkswagen,Golf,1.4 TSI Midline,2008,135.000,Siyah,Manuel,Benzin,Ankara,09 Ocak 2020,46.500 TL
89832,5e179871bc3087fa6cb10a85,777673711,Volkswagen,Passat,1.4 TSI BlueMotion Trendline,2018,16.000,Beyaz,Manuel,Benzin,Zonguldak,09 Ocak 2020,156.750 TL
89833,5e179871bc3087fa6cb10a86,777657184,Volkswagen,Polo,1.4 Comfortline,2012,150.000,Gri,Manuel,Benzin,Aksaray,09 Ocak 2020,70.500 TL
89834,5e179871bc3087fa6cb10a87,777656363,Volkswagen,Jetta,1.2 TSI Comfortline,2015,64.500,Gümüş Gri,Manuel,Benzin,İstanbul,09 Ocak 2020,118.000 TL
89835,5e179871bc3087fa6cb10a88,777668376,Volkswagen,Jetta,1.2 TSI Trendline,2015,95.000,Beyaz,Manuel,Benzin,Ankara,09 Ocak 2020,79.999 TL
89836,5e179871bc3087fa6cb10a89,764873364,Volkswagen,Golf,1.2 TSI Comfortline,2016,63.700,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,121.500 TL
89837,5e179871bc3087fa6cb10a8a,766554258,Volkswagen,Polo,1.2 TSI Comfortline,2015,39.800,Mavi,Manuel,Benzin,Kırıkkale,09 Ocak 2020,95.750 TL
89838,5e179871bc3087fa6cb10a8b,777658394,Volkswagen,Passat,1.4 TSI BlueMotion Trendline,2018,11.450,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,157.000 TL
89839,5e179871bc3087fa6cb10a8c,777657619,Volkswagen,Jetta,1.2 TSI Comfortline,2013,212.000,Beyaz,Manuel,Benzin,Denizli,09 Ocak 2020,80.000 TL
89840,5e179871bc3087fa6cb10a8d,777660322,Volkswagen,Golf,1.4 TSI Highline,2010,192.008,Beyaz,Manuel,Benzin,Trabzon,09 Ocak 2020,67.500 TL
89841,5e179871bc3087fa6cb10a8e,777658116,Volkswagen,Passat,1.4 TSI BlueMotion Trendline,2011,164.000,Gri,Manuel,Benzin,Adana,09 Ocak 2020,105.750 TL
89842,5e179871bc3087fa6cb10a8f,737704962,Volkswagen,Golf,1.4 TSI Comfortline,2011,123.000,Turkuaz,Manuel,Benzin,Bursa,09 Ocak 2020,63.000 TL
89843,5e179871bc3087fa6cb10a90,777595492,Volkswagen,Bora,1.6 Comfortline,2004,92.500,Beyaz,Manuel,Benzin,Kayseri,09 Ocak 2020,49.750 TL
89844,5e179871bc3087fa6cb10a91,776446883,Volkswagen,Jetta,1.4 TSI Comfortline,2009,350.000,Gri,Manuel,Benzin,Adıyaman,09 Ocak 2020,40.000 TL
89845,5e179871bc3087fa6cb10a92,777651589,Volkswagen,Jetta,1.6 FSi Midline,2008,188.860,Gümüş Gri,Manuel,Benzin,Hatay,09 Ocak 2020,45.000 TL
89846,5e179871bc3087fa6cb10a93,777476899,Volkswagen,Jetta,1.2 TSI BlueMotion Comfortline,2015,76.000,Beyaz,Manuel,Benzin,Osmaniye,09 Ocak 2020,102.500 TL
89847,5e179871bc3087fa6cb10a94,774974587,Volkswagen,Polo,1.4 Comfortline,2010,153.000,Siyah,Manuel,Benzin,Ardahan,09 Ocak 2020,65.000 TL
89848,5e179871bc3087fa6cb10a95,777507312,Volkswagen,Passat,2.0 FSi Comfortline,2006,204.000,Siyah,Manuel,Benzin,İstanbul,09 Ocak 2020,60.000 TL
